ID,AverageFiberLength,OrientationX,OrientationY,OrientationZ,AverageConnectivityWITHBoundary,AverageConnectivityWITHOUTBoundary,StrenghX,StrengthY,StrengthZ,ToughnessX,ToughnessY,ToughnessZ,Density,Sample1,Sample2,Ratio1,Ratio2,qSimx,qSimy,qSimz,AverageStrength,AverageToughness,dir
46,0.003102697,0.408888602,0.2825275,0.308583898,2.858399296,3.08603352,26.81413876,16.03516908,15.17387179,49.09739742,36.28998117,42.0464382,0.000310689,1,2,0.5,0.6,136,137,138,19.34105988,42.47793893,./WebNet_Mar6/All_Data/s1s2_Ratio_50_60
47,0.003175641,0.415556464,0.280632901,0.303810635,2.873963516,3.084033613,28.06036556,15.14426565,14.55748749,53.13749784,37.13006483,39.50682519,0.00030772,1,2,0.5,0.7,139,140,141,19.25403957,43.25812929,./WebNet_Mar6/All_Data/s1s2_Ratio_50_70
48,0.00324518,0.420099793,0.276783988,0.303116219,2.882953653,3.083086053,28.07044652,13.62489347,14.83345721,45.81357053,36.42456205,39.09222511,0.000304744,1,2,0.5,0.8,142,143,144,18.8429324,40.44345256,./WebNet_Mar6/All_Data/s1s2_Ratio_50_80
49,0.003297752,0.420059163,0.278803107,0.301137731,2.884730539,3.081998115,26.51314818,12.56171784,12.94569349,44.65638307,33.49604715,36.71128612,0.000296769,1,2,0.5,0.9,145,146,147,17.3401865,38.28790545,./WebNet_Mar6/All_Data/s1s2_Ratio_50_90
50,0.003308719,0.417190919,0.28016026,0.302648822,2.901569187,3.083102493,25.77958977,12.99931729,12.43539377,47.39932467,29.07530134,38.981399,0.000290972,1,2,0.5,1,148,149,150,17.07143361,38.48534167,./WebNet_Mar6/All_Data/s1s2_Ratio_50_100
51,0.003004952,0.378410035,0.285378566,0.336211399,2.796638655,3.098876404,24.97956949,15.31106239,14.63305611,29.90032762,35.70852177,37.344732,0.000278143,1,2,0.6,0.1,151,152,153,18.307896,34.31786046,./WebNet_Mar6/All_Data/s1s2_Ratio_60_10
52,0.003058322,0.387707596,0.289003273,0.323289131,2.796486091,3.094777563,23.91703856,13.91954864,12.35233271,32.70630197,40.56729978,38.60299963,0.000275632,1,2,0.6,0.2,154,155,156,16.72963997,37.29220046,./WebNet_Mar6/All_Data/s1s2_Ratio_60_20
53,0.003037275,0.388443713,0.285750358,0.325805929,2.815884477,3.099056604,23.5702617,12.76484881,13.56762064,40.83210228,39.92913945,38.73863103,0.000285414,1,2,0.6,0.3,157,158,159,16.63424372,39.83329092,./WebNet_Mar6/All_Data/s1s2_Ratio_60_30
54,0.003125165,0.400039184,0.281259816,0.318701,2.838569881,3.094182825,25.15604598,12.54136148,14.94881284,45.2031186,30.98321322,36.76478523,0.000287723,1,2,0.6,0.4,160,161,162,17.5487401,37.65037235,./WebNet_Mar6/All_Data/s1s2_Ratio_60_40
55,0.003129291,0.40654245,0.279853466,0.313604084,2.852207294,3.083737864,24.54683039,14.8100116,12.31979207,45.77325041,33.09642539,37.55001138,0.000292735,1,2,0.6,0.5,163,164,165,17.22554469,38.80656239,./WebNet_Mar6/All_Data/s1s2_Ratio_60_50
