Material,Test File,O2,Particulate,Particulate Size (um),Substrate,Input Velocity (m/s),Output Velocity (m/s),Coefficient of Restitution,Test Temperature Actual (F),Nominal Gas Velocity (ft/s),Flash,Ignition 
SS-Ni med,95523.pps,0,SS,95,Ni,123.9989951,9.468206251,0.076357121,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,96.76501038,7.862917315,0.081257856,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,82.80365015,11.79437597,0.142437875,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,103.0355026,28.34812575,0.275129689,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,72.08497909,19.89012939,0.275926131,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,99.33509005,17.40386321,0.175203578,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,90.56175144,10.69383516,0.118083352,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,110.7781718,13.73101587,0.123950555,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,52.45532442,13.73212986,0.26178715,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,100.2760648,16.67983321,0.166339128,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,114.6170377,12.79996002,0.111675893,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,124.0270394,12.67874883,0.102225683,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,134.7859293,21.45992535,0.159214878,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,116.0567457,23.9122665,0.206039437,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,117.1279324,16.20847242,0.138382639,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,56.72795869,11.79339597,0.207893889,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,50.34728066,5.628824213,0.111799965,73.7,453,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,47.052416,5.424013295,0.115275978,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,43.43609454,8.187492722,0.18849514,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,48.96028666,11.57964101,0.236510891,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,41.58972995,10.54446954,0.253535417,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,53.21359881,14.12186681,0.265380789,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,36.16571666,9.041842782,0.250011437,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,37.98073631,5.114134302,0.134650741,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,50.76226536,11.57881381,0.228098839,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,39.78432774,9.041429165,0.227261077,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,47.05452513,7.23272123,0.153709366,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,53.94141028,10.22876169,0.189627257,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,54.25308293,9.041429165,0.166652818,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,50.920952,9.737917229,0.191235962,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,27.36433012,5.717501016,0.208939923,73,144,0,0
SS-Ni med,95524.pps,0,SS,95,Ni,39.04641585,9.73823079,0.2494014,73,144,0,0
SS med,95525.pps,0,SS,95,S,43.4005484,10.54359339,0.24293687,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,143.9452901,20.61803791,0.143235238,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,106.7126323,18.88062716,0.176929636,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,124.082056,21.77548617,0.175492629,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,104.950784,17.27412289,0.164592605,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,113.935514,19.89110853,0.174582164,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,118.4778546,9.737917229,0.082191877,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,132.0149909,23.50687162,0.178062139,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,123.0157662,13.16439584,0.107013891,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,111.3495851,20.21726893,0.181565732,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,117.8935051,19.97362844,0.16942094,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,84.99027836,11.43647826,0.134562193,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,101.2868787,20.61765938,0.203557061,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,123.0822569,11.89261807,0.096623334,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,112.2436878,22.07269953,0.196649807,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,126.6316872,21.77548617,0.17195922,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,126.9024906,23.15722585,0.182480468,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,131.1775521,27.36643669,0.20862134,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,136.6370952,25.12239695,0.1838622,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,130.2476443,21.7761388,0.16719027,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,106.7082059,16.37644935,0.153469447,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,88.61294665,18.87942226,0.213054897,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,114.0502544,18.4409695,0.161691612,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,37.97600233,12.65989696,0.333365709,74.7,453,0,0
SS med,95525.pps,0,SS,95,S,88.67936094,22.0747758,0.248927998,74.7,453,0,0
SS med,95526.pps,0,SS,95,S,46.70838087,6.779102557,0.145136749,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,16.76096061,2.793377373,0.166659742,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,39.2079724,7.6783243,0.195835791,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,46.70615911,7.091889412,0.151840561,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,55.99134425,9.311128961,0.166295864,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,32.92168088,6.778369513,0.205893786,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,33.57293813,8.585158475,0.255716626,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,44.73468252,6.518584071,0.14571656,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,37.24418779,3.291902458,0.088387012,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,48.45609932,10.61683459,0.21910213,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,50.31317407,9.217774569,0.183207972,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,50.42275353,6.584675418,0.130589366,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,37.29071396,9.312846498,0.249736342,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,50.3173628,7.507333901,0.14919967,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,52.21817021,8.329186204,0.159507431,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,50.28288183,12.24825724,0.243587018,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,30.72820641,7.900685324,0.257115082,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,48.98687211,10.02774642,0.204702729,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,44.69800565,8.585593429,0.192080011,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,50.3173628,11.77744608,0.234063262,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,44.84920291,5.119144076,0.11414125,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,31.65766514,7.955871617,0.251309488,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,46.5968335,5.891159096,0.126428314,74.4,144,0,0
SS med,95526.pps,0,SS,95,S,36.5883498,10.53529177,0.287941157,74.4,144,0,0
SS med,95527.pps,0,SS,95,S,54.27660944,10.54374578,0.194259477,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,41.79139417,5.717705187,0.136815373,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,47.15864854,10.99920574,0.233238358,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,55.34019242,12.0638892,0.217995071,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,48.96239158,4.610433917,0.09416276,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,27.18675584,4.869121714,0.179099034,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,47.04850637,4.520902406,0.096090243,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,41.74881839,8.087802417,0.193725301,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,37.97231408,4.805576708,0.12655475,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,50.66344019,5.426123806,0.107101369,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,32.59984793,5.424464019,0.166395378,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,41.63459073,7.23272123,0.173719042,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,42.53430837,7.455328635,0.175278003,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,47.05063155,12.65778627,0.26902479,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,45.359099,8.904952117,0.196321186,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,52.72409956,3.25971787,0.061825956,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,50.64239413,11.893167,0.234846065,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,54.24857499,7.234077029,0.133350545,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,50.70797599,6.521462835,0.128608226,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,19.00847278,5.272777755,0.27739092,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,52.47975657,8.57760898,0.163446051,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,45.24331396,17.81047277,0.393659775,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,39.04719766,6.518462477,0.166938036,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,16.37430514,3.25971787,0.199075188,74.7,144,0,0
SS med,95527.pps,0,SS,95,S,28.94832828,10.10913951,0.34921324,74.7,144,0,0
SS med,95530.pps,0,SS,95,S,61.87603302,15.00765666,0.242543937,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,131.6215881,11.32288429,0.086026042,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,128.6528823,6.710429721,0.052159187,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,214.0886824,20.81187523,0.097211469,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,212.422978,39.44699543,0.185700228,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,204.7809234,25.31873897,0.123638172,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,186.1500448,15.00869433,0.080626864,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,152.7384998,9.492464215,0.062148471,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,232.8159456,29.13885774,0.125158342,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,153.1915182,27.92206066,0.182268973,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,168.1865552,24.83718063,0.147676374,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,186.8197341,34.77797594,0.186157935,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,227.2130131,19.43587908,0.085540343,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,219.6551,15.90441272,0.072406298,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,214.1356301,44.83015123,0.209354002,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,199.5005081,23.54588223,0.118024172,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,208.478388,28.89774212,0.138612651,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,67.93307275,14.53813232,0.214006694,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,155.846658,21.22553609,0.136195003,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,214.0930692,20.13706007,0.094057506,76.6,933,0,0
